ioc_type,ioc_value,source,confidence,last_seen,actor,description
ipv4,185.220.101.34,abuse.ch,high,2025-01-15,APT-PHANTOM,Known C2 server for PhantomRAT
ipv4,91.234.56.78,malware-patrol,high,2025-01-14,DARKSTORM,Staging server for destructive malware
ipv4,45.153.203.12,blocklist.de,critical,2025-01-15,CRYPTOLOCH,Ransomware payment server
ipv4,103.75.201.45,abuse.ch,high,2025-01-13,APT-PHANTOM,Data exfiltration endpoint
ipv4,194.61.24.102,otx-alienvault,medium,2025-01-10,Unknown,Suspicious scanning activity
domain,phantom-update.evil.com,phishtank,high,2025-01-15,APT-PHANTOM,C2 domain for PhantomRAT
domain,storm-ctrl.darknet.io,urlhaus,high,2025-01-14,DARKSTORM,C2 domain for StormWiper
domain,cryptoloch-pay.onion.ws,urlhaus,critical,2025-01-15,CRYPTOLOCH,Ransomware payment portal
domain,mal-download.sketchy.ru,otx-alienvault,medium,2025-01-12,Unknown,Malware distribution domain
domain,phish-login.bank-secure.cc,phishtank,high,2025-01-11,Unknown,Credential harvesting domain
sha256,a1b2c3d4e5f67890abcdef1234567890abcdef1234567890abcdef1234567890,virustotal,high,2025-01-15,APT-PHANTOM,PhantomRAT dropper binary
sha256,deadbeef1234567890abcdef1234567890abcdef1234567890abcdef12345678,malware-bazaar,critical,2025-01-14,DARKSTORM,StormWiper payload
sha256,cafebabe0000111122223333444455556666777788889999aaaabbbbccccdddd,malware-bazaar,critical,2025-01-15,CRYPTOLOCH,CryptoLoch Ransomware binary
sha256,1111222233334444555566667777888899990000aaaabbbbccccddddeeeeffff,virustotal,medium,2025-01-10,Unknown,Suspicious PE file
sha256,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,hybrid-analysis,low,2025-01-09,Unknown,Potentially unwanted program
